autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z
The REAPER Blog and Joel Schwartz,He automated all the boring parts of being a composer,https://www.youtube.com/watch?v=M9vHEf99-eM,Custom Scripts & Actions (Custom Scripts & Actions),6810,2026-06-10,01:01:34,3694,70.65,-59.19,80.64
The REAPER Blog,REAPER workflow tips from the community,https://www.youtube.com/watch?v=w0Y1YHawfwU,Custom Scripts & Actions (Custom Scripts & Actions),6686,2016-08-11,09:56,596,78.97,-57.97,84.09
REAPER Mania,Recording and Comping and Lanes in REAPER,https://www.youtube.com/watch?v=5YwwJ4ouvoM,Beginner Guides (Beginner Guides),6653,2025-08-09,03:10,190,16.94,-19.81,-93.62
The REAPER Blog,"What's New in REAPER v5.29 | ReaScript editor custom colors, video functions, Gain Reduction Scope",https://www.youtube.com/watch?v=4Y1xHqMkuek,Custom Scripts & Actions (Custom Scripts & Actions),6533,2017-08-11,09:46,586,70.45,-92.73,83.12
LKC Tools,Grim Sync - Advanced REAPER to Wwise bridge system - World Premiere,https://www.youtube.com/watch?v=0hFxBcwi_1k,"Beginner Guides (Beginner Guides, Game Audio & Middleware, Mastering & Loudness)",6287,2023-08-10,30:07,1807,59.32,19.88,-33.44
The REAPER Blog and Joel Schwartz,Getting Started Media Composing in REAPER with Joel Schwartz,https://www.youtube.com/watch?v=YqyFl7PhLn8,Beginner Guides (Beginner Guides),6123,2026-05-11,50:08,3008,7.64,-52.7,-78.11
Henry Scott,FMOD Studio 2.0 & Reaper | How To Link A Reaper Project To FMOD Studio,https://www.youtube.com/watch?v=wIjHxFMwz5E,Game Audio & Middleware (Game Audio & Middleware),6013,2019-08-11,13:21,801,53.54,57.21,5.73
Richard Savage Voice,Edit Voice Over in Reaper in Just 10 Minutes!,https://www.youtube.com/watch?v=y7Fosn9Wpmw,Beginner Guides (Beginner Guides),5933,2025-10-13,10:52,652,13.26,-48.26,31.68
REAPER Mania,Soloing Items for Playback in REAPER,https://www.youtube.com/watch?v=gI7gMhKmFxY,Beginner Guides (Beginner Guides),5827,2026-03-12,09:38,578,34.73,-33.19,6.4
Tomy Xendat,19  The Routing Matrix : Introduction To Reaper,https://www.youtube.com/watch?v=p5vIZ7qz0AI,"Beginner Guides (Beginner Guides, Audio Mixing & Routing)",5636,2015-08-12,04:43,283,106.73,12.81,-24.41
Simon Larkin,Reaper Tutorial- My Mastering Workflow,https://www.youtube.com/watch?v=GjGuLtKYhaQ,"Custom Scripts & Actions (Custom Scripts & Actions, Mastering & Loudness)",5547,2018-08-11,11:24,684,73.54,-30.65,58.57
Jeff Kaiser,12: Intro to Surround Sound Mixing using ReaSurroundPan - Two-Minute (or so) Tutorials for Reaper,https://www.youtube.com/watch?v=coqzD65Oj-U,"Beginner Guides (Beginner Guides, Audio Mixing & Routing)",5521,2024-08-09,02:37,157,107.28,17.53,-5.71
Dawn Shift Audio,"Ultimate Reaper Routing – Folders, Buses & Sends Explained",https://www.youtube.com/watch?v=oVu0f5e6JDk,Audio Mixing & Routing (Audio Mixing & Routing),5459,2026-01-11,23:46,1426,112.71,-45.67,-21.66
Narativ,How to Make Audio Louder in Reaper without Clipping | Tutorial,https://www.youtube.com/watch?v=yCkjmUqVe6E,Beginner Guides (Beginner Guides),5280,2024-08-09,04:26,266,57.97,-10.93,-33.57
LKC Tools,How to use ReaOpen with Wwise and FMOD (Free REAPER Script),https://www.youtube.com/watch?v=LIWxbkcT25s,"Custom Scripts & Actions (Custom Scripts & Actions, Game Audio & Middleware)",5273,2021-08-10,05:30,330,87.94,-44.92,94.24
That1Butler,The ONLY Reaper Guide You Need to Hit Grandmaster/Champion,https://www.youtube.com/watch?v=COf2oIFLOkY,Beginner Guides (Beginner Guides),5056,2026-06-10,16:11,971,27.53,-52.34,34.27
X-Raym,Lua Scripting with REAPER 5 - Part. 3: Get/Set First Selected Items Properties,https://www.youtube.com/watch?v=_D812H8x2OI,Custom Scripts & Actions (Custom Scripts & Actions),5005,2015-08-12,14:13,853,52.06,-68.77,66.93
A Distorted Perception Studio,Reaper Tutorial: Routing Drums in Kontakt,https://www.youtube.com/watch?v=OIcTnME2bWQ,Audio Mixing & Routing (Audio Mixing & Routing),4682,2024-08-09,09:32,572,110.23,-15.78,-2.66
IDDQD Sound,JSFX Scripting tutorial for beginners Pt. 1 (With Leandro Facchinetti),https://www.youtube.com/watch?v=HexzW0EZal8,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP)",4672,2021-08-10,02:06:34,7594,73.15,-49.32,23.93
Reaper Tutorials,Loading ReaScripts | Reaper Tutorials,https://www.youtube.com/watch?v=hpZ_Bu0uvk8,Beginner Guides (Beginner Guides),4587,2020-08-10,03:11,191,40.33,-23.37,37.73
Michael W. Bell,Surround Acronyms in FMOD Studio,https://www.youtube.com/watch?v=zHbWxTlZilI,Game Audio & Middleware (Game Audio & Middleware),4570,2023-08-10,02:32,152,62.08,47.8,13.75
Makketronix,Setup Python For Scripting In Reaper,https://www.youtube.com/watch?v=kGAPAHZK-v4,Custom Scripts & Actions (Custom Scripts & Actions),4435,2023-08-10,02:19,139,66.28,-53.87,65.62
X-Raym,ReaScript Demo - Create seamless loops from selected items with REAPER,https://www.youtube.com/watch?v=yjGDW4wVkEQ,Custom Scripts & Actions (Custom Scripts & Actions),4224,2016-08-11,01:10,70,55.79,-82.61,80.18
ABPmusic,GUITAR TO SYNTH // Pitch Follower // REAPER JSFX plugin,https://www.youtube.com/watch?v=rZQcvrBn_OY,"JSFX & Plugin DSP (JSFX & Plugin DSP, Vocal Processing & Tuning)",4092,2017-08-11,01:18,78,60.11,-29.58,-120.0
Let's Talk About Reaper,Improved Routing with Buss Driver!,https://www.youtube.com/watch?v=yxzDPoQTwJ0,Audio Mixing & Routing (Audio Mixing & Routing),3982,2022-08-10,07:21,441,96.86,-36.05,2.2
pipelineaudio,REAPER Tutorial 5 - Multichannel Routing (updated),https://www.youtube.com/watch?v=sbZ00ATJajY,Audio Mixing & Routing (Audio Mixing & Routing),3960,2009-08-13,03:57,237,109.61,-18.27,-36.95
Philip Babin,Routing in REAPER for immersive Audio Production,https://www.youtube.com/watch?v=7Pby6ttb1rk,Audio Mixing & Routing (Audio Mixing & Routing),3934,2021-08-10,08:09,489,106.59,-32.89,-5.2
The REAPER Blog,"The REAPER Blog Q&A #20 | 10,000 subscribers; switching from Pro Tools; plugin bundles and more",https://www.youtube.com/watch?v=VSECTJMWfg4,JSFX & Plugin DSP (JSFX & Plugin DSP),3772,2017-08-11,11:06,666,53.86,-38.47,-93.79
The REAPER Blog,The REAPER Blog Q&A # 21 | snap to frame; bypass all fx; reference tracks and more,https://www.youtube.com/watch?v=05JolSmj87c,Beginner Guides (Beginner Guides),3555,2017-08-11,06:29,389,15.02,-32.11,-11.6
IDDQD Sound,Delta Solo in REAPER Demystified! (Rapid-Fire REAPER Tutorials Ep91),https://www.youtube.com/watch?v=xxYuM0bpFew,Beginner Guides (Beginner Guides),3417,2022-08-10,05:14,314,45.39,-20.04,54.22
Simon Larkin,Reaper Tutorial- Routing busses and send effects- Part 2.1,https://www.youtube.com/watch?v=mNZVsgwYllA,Audio Mixing & Routing (Audio Mixing & Routing),3400,2016-08-11,25:13,1513,114.76,-7.31,-21.31
La Cabaña Estudio,Lo más BÁSICO de REAPER  (Tutorial al grano),https://www.youtube.com/watch?v=myI8StX_Us0,Beginner Guides (Beginner Guides),3342,2025-10-13,09:05,545,19.79,2.79,-10.69
Home Brew Audio,Save Audio To Target Loudness In Reaper,https://www.youtube.com/watch?v=rBsWKJkDtBg,Mastering & Loudness (Mastering & Loudness),3273,2022-08-10,03:18,198,72.08,13.98,19.24
Tom Coote,Make your first Jesusonic JSFX Delay Plugin in Reaper,https://www.youtube.com/watch?v=USN0Y2VReSo,JSFX & Plugin DSP (JSFX & Plugin DSP),3251,2022-08-10,24:00,1440,52.68,-52.82,-75.45
The REAPER Blog,"Horror door sound design, MIDI Editor tips, and Automation - REAPER Blog Q&A # 34",https://www.youtube.com/watch?v=E5HYOdrW_Bo,"Game Audio & Middleware (Game Audio & Middleware, MIDI Editing & Virtual Instruments)",3107,2019-08-11,17:39,1059,86.37,38.18,-51.87
Sky River Sound,"Sound Design & Implementation - Workflow with Reaper, Wwise & Unity",https://www.youtube.com/watch?v=x9DNKIySca4,"Custom Scripts & Actions (Custom Scripts & Actions, Game Audio & Middleware)",3087,2020-08-10,11:17,677,92.19,-55.47,76.56
AdmiralBumblebee,DIY - Sample Accurate Automation in Reaper with JSFX,https://www.youtube.com/watch?v=6Yz2vWxhcbM,JSFX & Plugin DSP (JSFX & Plugin DSP),3057,2019-08-11,02:46,166,66.26,-63.5,-101.9
REAPER for Voice Talent,AddOns and VST's - Windows - REAPER DAW Tutorial,https://www.youtube.com/watch?v=z4WtS4bgzok,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),3032,2020-08-10,15:46,946,49.22,-95.69,-12.49
mark berg,Fmod Sound Design & Implementation Reel • mark berg,https://www.youtube.com/watch?v=-1rGBKQx4x4,Game Audio & Middleware (Game Audio & Middleware),2836,2022-08-10,03:25,205,77.99,33.41,-33.42
X-Raym,Programmed Light Show in Sync with Music from REAPER - Custom JSFX Demo - CRMX Pavotube,https://www.youtube.com/watch?v=_eEyN1UXOxQ,JSFX & Plugin DSP (JSFX & Plugin DSP),2767,2024-08-09,00:27,27,58.64,-55.1,-112.73
ABPmusic,PITCH-MATCHING VOCODER // Pitch Follower // REAPER JSFX plugin,https://www.youtube.com/watch?v=DJ_fNW3Rz6Y,"Beginner Guides (Beginner Guides, JSFX & Plugin DSP, Vocal Processing & Tuning)",2747,2017-08-11,05:02,302,56.3,-19.91,-119.82
Marcelo Fernández,Cómo CREAR EFECTOS en REAPER | FREE JSFX DELAY FX,https://www.youtube.com/watch?v=VvJHrLlm4RA,JSFX & Plugin DSP (JSFX & Plugin DSP),2730,2025-08-09,12:41,761,60.08,-51.43,-61.87
The REAPER Blog,Too many questions - The REAPER Blog Q&A #33,https://www.youtube.com/watch?v=QCnFzXAZgTQ,Beginner Guides (Beginner Guides),2711,2019-08-11,19:02,1142,18.93,-36.06,-34.18
NRQ's Studio,Advanced routing - Cockos Reaper DAW,https://www.youtube.com/watch?v=UuamuK-Rdh0,Audio Mixing & Routing (Audio Mixing & Routing),2709,2018-08-11,02:49,169,90.18,-41.87,-15.58
The REAPER Blog,The REAPER Blog Q&A #18 || $150 audio interfaces; Recording Takes; Acoustic Clouds and more,https://www.youtube.com/watch?v=AL4bTfe4pfs,Beginner Guides (Beginner Guides),2627,2017-08-11,08:07,487,40.02,-30.65,-81.16
Henry Scott,FMOD Studio 2.0 & Reaper | How To Import Reaper Timelines As FMOD Events,https://www.youtube.com/watch?v=n0t0CTnzcHA,Game Audio & Middleware (Game Audio & Middleware),2576,2019-08-11,13:22,802,56.3,61.71,-14.5
Henry Scott,FMOD & Unity | Adding Game Sounds | Part 5 - Your Comments & Feedback,https://www.youtube.com/watch?v=XSsQwKse0W4,Game Audio & Middleware (Game Audio & Middleware),2515,2019-08-11,32:14,1934,78.03,69.12,16.85
Julio Carreño,Aprende REASCRIPT y COMIENZA el camino para la MAXIMA Configuración de REAPER 😱,https://www.youtube.com/watch?v=cFkzPC-jW5k,Custom Scripts & Actions (Custom Scripts & Actions),2496,2023-08-10,20:07,1207,69.54,-80.26,105.12
IDDQD Sound,"Let’s learn scripting in REAPER Ep02: Functions, Arguments, Returns & Variables",https://www.youtube.com/watch?v=hgx0btZuAas,Custom Scripts & Actions (Custom Scripts & Actions),2489,2021-08-10,20:25,1225,60.87,-36.33,69.01
Mike Lane - Game Audio,FMOD vs Wwise (Part 10) | What about Elias?,https://www.youtube.com/watch?v=Y6r_vtu61Jc,Game Audio & Middleware (Game Audio & Middleware),2446,2018-08-11,06:25,385,72.25,74.44,-21.84
Damion Sheppard,FMOD Studio -  Procedural Music Experiment,https://www.youtube.com/watch?v=UBce3Z87uyI,Game Audio & Middleware (Game Audio & Middleware),2336,2017-08-11,05:09,309,63.34,61.75,2.16
X-Raym,Lua Scripting with REAPER 5 - Part. 6: Time Selection,https://www.youtube.com/watch?v=MROEX9MqJHc,Custom Scripts & Actions (Custom Scripts & Actions),2181,2015-08-12,09:29,569,53.65,-52.0,84.34
The REAPER Blog,"The REAPER Blog Q&A #25 | Making plugins, REAPER video features, destructive editing and more",https://www.youtube.com/watch?v=FCxS8iqyxAo,JSFX & Plugin DSP (JSFX & Plugin DSP),2174,2018-08-11,09:29,569,78.38,-78.39,-73.38
X-Raym,ReaScript Demo: Stutter Edit Selected Items with REAPER,https://www.youtube.com/watch?v=Uz09ifB7atg,Custom Scripts & Actions (Custom Scripts & Actions),2076,2016-08-11,00:35,35,58.04,-81.28,96.01
Marc Hasselbalch,Introducing ReaperToWwise 1.0,https://www.youtube.com/watch?v=tp4WfHSHacE,"Beginner Guides (Beginner Guides, Custom Scripts & Actions)",2071,2025-08-09,06:40,400,38.9,-32.37,90.79
Dom Mcsweeney / Doom Plugs,Is it possible to use Reaper's JSFX in any DAW? YSFX!,https://www.youtube.com/watch?v=PlXGl3ylk7Q,JSFX & Plugin DSP (JSFX & Plugin DSP),2036,2022-08-10,00:53,53,69.43,-68.6,-82.74
The REAPER Blog,REAPER Blog Q & A # 8 | export mp3; print multichannel VSTi; disable all plugins,https://www.youtube.com/watch?v=lSIu7OHoafc,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",1972,2016-08-11,04:38,278,75.36,-85.16,-42.85
X-Raym,Lua Scripting with REAPER 5 - Part. 8: Using Native Actions,https://www.youtube.com/watch?v=tYSyccFFbmU,Custom Scripts & Actions (Custom Scripts & Actions),1954,2015-08-12,02:16,136,60.62,-63.19,76.6
Amner Hunter,REAPER Daw Tutorial For Beginners - Making Music with FREE Vst Plugins - Programming Drums (Part 2),https://www.youtube.com/watch?v=V_YW6sNw7V8,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",1934,2022-08-10,13:07,787,74.06,-80.48,-19.22
Sound Codex,Introduction to REAPER DAW for Absolute Beginners,https://www.youtube.com/watch?v=2yXg5gCA4SA,Beginner Guides (Beginner Guides),1880,2023-08-10,32:34,1954,29.66,-96.46,-44.41
Robert Gregory Browne,Track Template and Sends Script for Reaper,https://www.youtube.com/watch?v=V3vY2cV_H54,Custom Scripts & Actions (Custom Scripts & Actions),1755,2023-08-10,01:55,115,74.64,-36.08,96.5
Bobby Moen,Four Custom Reaper Actions for Game Audio,https://www.youtube.com/watch?v=NEsG2lf32a4,"Custom Scripts & Actions (Custom Scripts & Actions, Game Audio & Middleware)",1690,2022-08-10,10:12,612,86.43,-43.44,76.49
Christopher Marlowe Production,FREE Crazy Modular Delay JSFX for Reaper Users - Saike's Reflectosaurus,https://www.youtube.com/watch?v=SCukvfDPYk8,JSFX & Plugin DSP (JSFX & Plugin DSP),1683,2021-08-10,11:12,672,56.07,-63.4,-53.65
Your Home Recording,Reaper DAW Tutorial (Part 9) – Automation,https://www.youtube.com/watch?v=h3xmVteY5DE,Beginner Guides (Beginner Guides),1673,2019-08-11,06:27,387,33.31,-31.72,-33.0
Audiokinetic,Strata and ReaWwise,https://www.youtube.com/watch?v=3FPakcG2c2g,Beginner Guides (Beginner Guides),1641,2023-08-10,13:03,783,28.02,-25.11,-9.38
X-Raym,Sound Effects Editing with REAPER Scripts (english subs),https://www.youtube.com/watch?v=wKbku6b1oZ0,Custom Scripts & Actions (Custom Scripts & Actions),1612,2021-08-10,11:40,700,75.94,-63.62,105.6
Wild Turkey Studios,Installing JSFX RCInflator in REAPER,https://www.youtube.com/watch?v=V-KirFidlp4,JSFX & Plugin DSP (JSFX & Plugin DSP),1609,2022-08-10,00:40,40,62.14,-60.03,-82.16
The REAPER Blog,REAPER Blog Q&A #30 - fave game soundtracks; getting healthier and more,https://www.youtube.com/watch?v=UxG9U5KCPRs,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),1551,2019-08-11,14:53,893,56.74,-97.86,0.87
IDDQD Sound,"Let’s learn scripting in REAPER Ep2.5:  OnCommand functions, Mousewheel/CC Scripting",https://www.youtube.com/watch?v=hfhlhmy-7kU,Beginner Guides (Beginner Guides),1530,2022-08-10,18:52,1132,49.17,1.21,95.44
The REAPER Blog,REAPER Blog Recap 2017,https://www.youtube.com/watch?v=YbLFARrPa6c,Beginner Guides (Beginner Guides),1510,2018-08-11,06:42,402,23.03,-41.75,-19.14
Lantertronics,Reaper JSFX EEL2: Sinusoidal Nonlinearity -- Wave Multiplier Effect,https://www.youtube.com/watch?v=Yde3xDZcnCU,JSFX & Plugin DSP (JSFX & Plugin DSP),1488,2021-08-10,01:34,94,63.06,-48.32,-93.38
Terence Boyd,How to Route GGD in Reaper (The Perfect Setup),https://www.youtube.com/watch?v=J1LhVpNDf6s,Beginner Guides (Beginner Guides),1475,2026-01-11,10:41,641,-11.55,-15.49,8.64
IDDQD Sound,Getting into MIDI JSFX Scripting (JSFX Scripting for Beginners Pt.18),https://www.youtube.com/watch?v=m-dSzxuHGW4,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",1444,2023-08-10,02:44:26,9866,57.94,-87.65,-42.27
Krinstar,Reaper JSFX (Plugins) in Bitwig 4.4,https://www.youtube.com/watch?v=QWheCkSjX0k,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",1432,2023-08-10,11:59,719,67.09,-78.66,-37.89
Ivy Audio,Automatic Sample Namer for Reaper,https://www.youtube.com/watch?v=qh7catma-90,Custom Scripts & Actions (Custom Scripts & Actions),1422,2016-08-11,05:23,323,75.95,-52.73,63.32
Bettina Calmon,Fmod & Wwise: How to learn,https://www.youtube.com/watch?v=6qe4dssKaKc,Game Audio & Middleware (Game Audio & Middleware),1395,2023-08-10,11:00,660,67.33,58.16,-21.86
Karl,WAAPI Reaper Project Recall,https://www.youtube.com/watch?v=S-3ldsJmNjc,Beginner Guides (Beginner Guides),1376,2017-08-11,00:41,41,40.04,16.79,12.59
Music Nation TV,"Reaper's Incredible JS Plugins - Powerful, free and butt-ugly!",https://www.youtube.com/watch?v=ikqKNEad9jI,JSFX & Plugin DSP (JSFX & Plugin DSP),1372,2026-05-11,18:34,1114,74.39,-50.4,-59.42
REAPER for Voice Talent,Recording in REAPER on a PC - REAPER DAW Tutorial,https://www.youtube.com/watch?v=BTpkShgNr-I,Beginner Guides (Beginner Guides),1363,2021-08-10,08:04,484,32.93,-15.78,-46.64
Louie Taylor,Composing Adaptive Video Game Music - Part 3 - Conflict Music and FMOD,https://www.youtube.com/watch?v=Iql5xrIALpg,Game Audio & Middleware (Game Audio & Middleware),1323,2022-08-10,30:09,1809,63.45,70.61,20.35
Bamsitevideos,Plugins In Reaper pt1 | Reaper Power-Ups EP 03,https://www.youtube.com/watch?v=FL40WoUw_Mk,JSFX & Plugin DSP (JSFX & Plugin DSP),1301,2026-02-10,18:09,1089,67.22,-38.59,-50.85
Reaper for Audiobooks,Installing Lua Scripts in Reaper,https://www.youtube.com/watch?v=VYv_XYejsag,Custom Scripts & Actions (Custom Scripts & Actions),1300,2023-08-10,02:08,128,63.23,-50.8,86.66
Jess Wallace,FMOD + Unreal: Animation Audio,https://www.youtube.com/watch?v=-BJy2ZYd6h8,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",1257,2024-08-09,09:43,583,54.34,48.22,-48.65
Marley Mac Media,Music Production Software Walk-through for Beginners | Reaper DAW Demonstration,https://www.youtube.com/watch?v=N9_iRPNDwBM,Beginner Guides (Beginner Guides),1172,2020-08-10,16:38,998,42.62,10.72,-84.62
The REAPER Blog,"Interview editing, hang out - REAPER Blog - LIVE STREAM",https://www.youtube.com/watch?v=nOCgXduTaf4,Beginner Guides (Beginner Guides),1133,2018-08-11,01:24:49,5089,31.39,-46.83,-13.86
Rob van Hees,Reaper Tricks: Mega fast sending Tracks to FX Tracks,https://www.youtube.com/watch?v=HiUp2EgSIYM,Custom Scripts & Actions (Custom Scripts & Actions),1133,2016-08-11,01:40,100,86.1,-73.57,94.45
IDDQD Sound,JSFX Scripting tutorial for beginners Pt. 2 (With Leandro Facchinetti),https://www.youtube.com/watch?v=WR8PtyfLAVc,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP)",1098,2021-08-10,02:17:45,8265,79.97,-57.55,17.71
Frank B (FB IV),ROUTING IN REAPER,https://www.youtube.com/watch?v=xtmKDc3KklM,Audio Mixing & Routing (Audio Mixing & Routing),1093,2016-08-11,02:33,153,104.68,-20.72,-18.43
Not Only Reaper Tutorials by Tormy Van Cool,#058 - ▶️  LUFS in REAPER: Graphic Loudness of Markers and Regions [Tutorial - How To - ENGLISH],https://www.youtube.com/watch?v=_Td-KdqnIoc,Mastering & Loudness (Mastering & Loudness),1076,2022-08-10,03:28,208,79.45,8.77,49.66
Leandro Facchinetti,Starting a Design System for JSFX (REAPER Real-Time Audio Effects),https://www.youtube.com/watch?v=GrB51u7SqQY,JSFX & Plugin DSP (JSFX & Plugin DSP),1047,2022-08-10,01:53:38,6818,56.54,-89.65,-89.34
forrest roush,FMOD interactive audio demo and tutorial,https://www.youtube.com/watch?v=TmEMFgCND90,Game Audio & Middleware (Game Audio & Middleware),965,2011-08-13,07:45,465,73.47,31.05,-12.08
Erik Jacobsson,Sound Design for pulse rifle - Fmod - Unreal engine,https://www.youtube.com/watch?v=BKocx12EGZI,Game Audio & Middleware (Game Audio & Middleware),930,2016-08-11,04:17,257,71.34,63.44,-47.18
Daniel Petras,Technical Game Audio Reel by Daniel Petras,https://www.youtube.com/watch?v=AzU3eOs5cco,Game Audio & Middleware (Game Audio & Middleware),895,2019-08-11,03:16,196,82.55,34.61,1.6
Reaper Tutorials,"Looping (Part 1) | Getting Started, Track settings, Time selection auto punch",https://www.youtube.com/watch?v=Y3yp_KxUBMg,Beginner Guides (Beginner Guides),881,2020-08-10,03:26,206,9.22,-41.26,-57.48
Pablo Sorribes Bernhard,GameAudio Ideas - OVERWATCH-style Dynamic Reverb System using FMOD and Unity,https://www.youtube.com/watch?v=MPGa9eotkMs,Game Audio & Middleware (Game Audio & Middleware),851,2021-08-10,02:13,133,72.33,54.6,30.89
Amner Hunter,REAPER Daw Tutorial For Beginners - Making Music w/ FREE Vst Plugins - Prep & Basic Editing (Part 6),https://www.youtube.com/watch?v=EPpyakluGxg,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",840,2022-08-10,15:23,923,73.9,-93.08,-21.09
Asim Code,ReaScript with Lua Automate REAPER Like a Pro!,https://www.youtube.com/watch?v=CnDHP90t9lA,Custom Scripts & Actions (Custom Scripts & Actions),826,2025-08-09,05:20,320,59.24,-62.29,101.5
Floop's Reaper Scripts,Free REAPER JSFX Saturation Plugin - Floop Chrominator (Analog-ish Color & Grit),https://www.youtube.com/watch?v=udaJl0OGvGQ,JSFX & Plugin DSP (JSFX & Plugin DSP),776,2026-01-11,01:44,104,62.03,-38.39,-74.62
Rob van Hees,Super fast adding VSTi Track of choice in Reaper,https://www.youtube.com/watch?v=Z52KlFDz7ko,"Custom Scripts & Actions (Custom Scripts & Actions, MIDI Editing & Virtual Instruments)",767,2016-08-11,00:59,59,58.29,-96.16,51.96
X-Raym,REAPER Script: Sort Items Order based On Their Pitch,https://www.youtube.com/watch?v=igX2Zef0gaI,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP, Vocal Processing & Tuning)",742,2016-08-11,02:11,131,84.59,-75.84,28.39
IDDQD Sound,Live Scripting tutorial for beginners (With Leandro Facchinetti),https://www.youtube.com/watch?v=YfTVXn730DQ,Custom Scripts & Actions (Custom Scripts & Actions),720,2021-08-10,01:38:11,5891,65.07,-45.93,44.29
Niall Coates,FMOD - Rendering audio with the profiler,https://www.youtube.com/watch?v=SWzI1pIQ_ro,"Game Audio & Middleware (Game Audio & Middleware, Mastering & Loudness)",705,2022-08-10,03:46,226,63.25,30.97,-2.54
DYS Recording Studio,Mixing  Reggae in Reaper Final Chapter Mastering Loudness,https://www.youtube.com/watch?v=KP-Cz4eP2uM,"Audio Mixing & Routing (Audio Mixing & Routing, Mastering & Loudness)",684,2018-08-11,14:33,873,82.23,-2.5,-32.54
Lord Commander Guts,Fmod Basic Tutorial | First step in audio middleware,https://www.youtube.com/watch?v=AEwS-URM5cM,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",644,2023-08-10,34:44,2084,48.21,39.54,-55.73
Richard F. Jackson,Reaper DAW with Groove Agent - Multi-output audio routing,https://www.youtube.com/watch?v=ZaxTrIz2S4o,Audio Mixing & Routing (Audio Mixing & Routing),628,2025-08-09,04:01,241,97.26,-41.99,-35.32
Blackmagic Television Network,The Secrets Of Routing In Reaper,https://www.youtube.com/watch?v=LKPA97_6tmQ,Audio Mixing & Routing (Audio Mixing & Routing),619,2021-08-10,01:49,109,99.87,-21.13,-36.85
SamTheBeardGuy,VideoGame Audio - From Logic Pro X to FMOD,https://www.youtube.com/watch?v=dy3WFVR0t9w,Game Audio & Middleware (Game Audio & Middleware),613,2020-08-10,58:18,3498,65.48,40.4,-24.21
Pro Tools to Reaper,Reaper Up Down Shortcut Like Pro Tools Script,https://www.youtube.com/watch?v=OIwH1S5ePkY,Custom Scripts & Actions (Custom Scripts & Actions),560,2018-08-11,00:59,59,65.34,-53.72,112.27
Andrew Renko,"How to pick random sound and play with random pitch in any DAW, using Battery 4 (like FMOD, Wwise)",https://www.youtube.com/watch?v=0AN0CiD4Aok,"Game Audio & Middleware (Game Audio & Middleware, Vocal Processing & Tuning, MIDI Editing & Virtual Instruments)",537,2022-08-10,02:46,166,79.79,36.88,-66.42
Craig Owen,"TAP Tutorial Intro: Wwise, Unity and Reaper intergration",https://www.youtube.com/watch?v=NJiYOnIX_v0,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",479,2019-08-11,02:22,142,53.44,24.51,-51.5
Gui Novi,Reaper + Wwise: Combat Sound Design demo,https://www.youtube.com/watch?v=c4H927QnLZc,Game Audio & Middleware (Game Audio & Middleware),452,2023-08-10,07:52,472,81.15,52.96,-41.63
Daniel Petras,Reascript (in Lua): Open FX Panel for Selected Tracks and Media Items,https://www.youtube.com/watch?v=3ewFUl1O0q4,Custom Scripts & Actions (Custom Scripts & Actions),451,2019-08-11,02:23,143,49.11,-71.95,93.04
Floop's Reaper Scripts,Master Monitoring Plugin for REAPER – Floop Master Control,https://www.youtube.com/watch?v=VnD-jDV06Fw,Audio Mixing & Routing (Audio Mixing & Routing),449,2026-02-10,02:14,134,104.94,-47.04,13.5
Reaper Tutorials,"Looping (Part 3) | MIDI Merge in Reaper (well, kind of)",https://www.youtube.com/watch?v=A_dLKzigGbM,"Custom Scripts & Actions (Custom Scripts & Actions, MIDI Editing & Virtual Instruments)",439,2020-08-10,01:40,100,64.88,-87.95,44.48
Daniel Bandeira,Daniel Bandeira - Wwise Demo Reel | Game Audio Implementation,https://www.youtube.com/watch?v=2_rtqf-ucPQ,Game Audio & Middleware (Game Audio & Middleware),415,2024-08-09,02:27,147,85.87,31.61,-16.55
Bjorkas,Can I do this in Fmod?  Episode 1: Reverb tails and probability,https://www.youtube.com/watch?v=rzCgZpEEe8Q,Game Audio & Middleware (Game Audio & Middleware),411,2020-08-10,07:31,451,71.68,55.3,10.63
Reaper Tutorials,Looping (Part 2) | Undo while recording without stopping,https://www.youtube.com/watch?v=4Z8TjzxBeK4,Beginner Guides (Beginner Guides),398,2020-08-10,03:00,180,18.63,-30.33,-65.15
